time,open,high,low,close,tick_volume,spread,real_volume
2025-07-22 21:42:00,1.17497,1.17497,1.17489,1.1749,6,8,0
2025-07-22 21:43:00,1.1749,1.1749,1.17488,1.17489,4,18,0
2025-07-22 21:44:00,1.17488,1.1749100000000001,1.17488,1.1749100000000001,12,16,0
2025-07-22 21:45:00,1.1749,1.17495,1.17489,1.1749100000000001,35,11,0
2025-07-22 21:46:00,1.1749100000000001,1.17498,1.1749100000000001,1.17497,19,8,0
2025-07-22 21:47:00,1.17497,1.17499,1.17496,1.17499,7,8,0
2025-07-22 21:48:00,1.17498,1.17498,1.17494,1.17496,21,8,0
2025-07-22 21:49:00,1.17496,1.17497,1.17495,1.17497,14,9,0
2025-07-22 21:50:00,1.17497,1.17498,1.17495,1.17497,23,8,0
2025-07-22 21:51:00,1.17497,1.17498,1.17497,1.17497,3,8,0
2025-07-22 21:52:00,1.17498,1.17498,1.17497,1.17498,7,8,0
2025-07-22 21:53:00,1.17497,1.17497,1.17496,1.17496,2,8,0
2025-07-22 21:54:00,1.17496,1.17497,1.17495,1.17495,6,9,0
2025-07-22 21:55:00,1.17495,1.17504,1.17495,1.17502,16,10,0
2025-07-22 21:56:00,1.17503,1.17503,1.1750099999999999,1.17503,10,10,0
2025-07-22 21:57:00,1.17502,1.17503,1.17496,1.17498,22,10,0
2025-07-22 21:58:00,1.17493,1.17499,1.1749,1.17492,48,9,0
2025-07-22 21:59:00,1.17492,1.17493,1.17469,1.17489,69,8,0
2025-07-22 22:00:00,1.17488,1.17507,1.17454,1.17487,205,8,0
2025-07-22 22:01:00,1.17487,1.17492,1.17485,1.17485,24,8,0
2025-07-22 22:02:00,1.17486,1.17486,1.17477,1.17482,12,8,0
2025-07-22 22:03:00,1.17482,1.17483,1.17469,1.17471,28,8,0
2025-07-22 22:04:00,1.17471,1.17479,1.17468,1.17479,16,8,0
2025-07-22 22:05:00,1.17479,1.17494,1.17479,1.17487,40,8,0
2025-07-22 22:06:00,1.17489,1.1749,1.17475,1.17476,31,8,0
2025-07-22 22:07:00,1.17476,1.17479,1.17476,1.17477,7,8,0
2025-07-22 22:08:00,1.17475,1.17478,1.17472,1.17478,11,8,0
2025-07-22 22:09:00,1.17477,1.17479,1.17477,1.17478,8,8,0
2025-07-22 22:10:00,1.17477,1.17485,1.17477,1.17483,21,2,0
